ticket_id,summary,chatbot_response,llm_evaluation,llm_reason,human_evaluation,human_reason,judge_correct
JIRA-0003,Where do I set a practitioner's weekly schedule?,"The documentation covers **Schedule module**, but it doesn't spell out the exact option you're describing. What the docs *do* describe:

1. Navigate to the relevant module.
2. Fill in the required fields — the form flags anything missing.
3. Set the date and any optional details.
4. Choose the patient / practitioner from the picker.
5. Select **Add** (or **Edit** on an existing record).

You'll likely need a colleague to confirm the rest.",PARTIAL,"On-topic and partly useful, but a staff member would still need to finish or verify it.",PARTIAL,Matches the automated label.,
JIRA-0029,How to add a diagnosis (ICD code) to an encounter,"From **Encounters** in the documentation:

1. From the sidebar open the relevant module.
2. Fill in the required fields — the form flags anything missing.
3. Select **Add** (or **Edit** on an existing record).
4. Set the date and any optional details.

The record appears in the list straight away.",FULL,"Correct, specific and self-contained — a workflow could stop here.",FULL,Matches the automated label.,
JIRA-0002,Steps to book an appointment for an existing patient,"From **Patients (Patient Worklist)** in the documentation:

1. Open the relevant module.
2. Click **Save**.
3. Select **Add** (or **Edit** on an existing record).
4. Set the date and any optional details.

You can edit it later from the same screen.",FULL,The reply gives the documented steps end to end and needs no staff action.,PARTIAL,Reviewer judged the interaction differently from the automated label.,
JIRA-0010,How do I search for a patient by phone number?,"From **Patients (Patient Worklist)** in the documentation:

1. Navigate to the relevant module.
2. Choose the patient / practitioner from the picker.
3. Fill in the required fields — the form flags anything missing.
4. Set the date and any optional details.

The change takes effect immediately.",FULL,"Correct, specific and self-contained — a workflow could stop here.",FULL,Matches the automated label.,
JIRA-0014,How do I record a deposit or advance payment from a patient?,"From **Patients (Patient Worklist)** in the documentation:

1. Navigate to the relevant module.
2. Select **Add** (or **Edit** on an existing record).
3. Set the date and any optional details.

The record appears in the list straight away.",FULL,"Correct, specific and self-contained — a workflow could stop here.",FULL,Matches the automated label.,
JIRA-0006,How do I record a patient's vital signs?,"From **Patients (Patient Worklist)** in the documentation:

1. Go to the relevant module.
2. Fill in the required fields — the form flags anything missing.
3. Select **Add** (or **Edit** on an existing record).

The change takes effect immediately.",FULL,The reply gives the documented steps end to end and needs no staff action.,FULL,Matches the automated label.,
JIRA-0021,How to reschedule an existing appointment to another day,"From **Appointments** in the documentation:

1. Go to the relevant module.
2. Click **Save**.
3. Fill in the required fields — the form flags anything missing.
4. Choose the patient / practitioner from the picker.

The record appears in the list straight away.",FULL,"Correct, specific and self-contained — a workflow could stop here.",PARTIAL,Reviewer judged the interaction differently from the automated label.,
JIRA-0017,How to add a new department to our facility,"The documentation covers **Facility Settings**, but it doesn't spell out the automated version of this. What the docs *do* describe:

1. Navigate to the relevant module.
2. Choose the patient / practitioner from the picker.
3. Click **Save**.
4. Select **Add** (or **Edit** on an existing record).

You'll likely need a colleague to confirm the rest.",PARTIAL,The reply points to the right area but leaves a gap the user can't close alone.,PARTIAL,Matches the automated label.,
JIRA-0030,Prescription PDF prints with the wrong clinic address in the header,"A few things to check first:

- Try it in a different browser.
- Check whether the same thing happens on another staff account.
- Clear the browser cache and hard-refresh the page.

If none of that helps, this looks like a defect — please raise it with the support team so an engineer can look at it.",HUMAN,"The bot offered troubleshooting, but resolving this needs an engineer / a decision.",HUMAN,Matches the automated label.,
JIRA-0018,Where do I configure clinic rooms and resources?,"The documentation covers **Facility Settings — Resources**, but it doesn't spell out doing it in bulk. What the docs *do* describe:

1. Go to the relevant module.
2. Click **Save**.
3. Choose the patient / practitioner from the picker.

You'll likely need a colleague to confirm the rest.",PARTIAL,The reply points to the right area but leaves a gap the user can't close alone.,HUMAN,Reviewer judged the interaction differently from the automated label.,
JIRA-0022,Cancel an appointment and notify the patient,"From **Patients (Patient Worklist)** in the documentation:

1. Navigate to the relevant module.
2. Select **Add** (or **Edit** on an existing record).
3. Click **Save**.
4. Set the date and any optional details.

The change takes effect immediately.",FULL,The reply gives the documented steps end to end and needs no staff action.,FULL,Matches the automated label.,
JIRA-0012,How to log an immunization / vaccine dose,"From **Immunizations** in the documentation:

1. Open the relevant module.
2. Fill in the required fields — the form flags anything missing.
3. Set the date and any optional details.
4. Choose the patient / practitioner from the picker.
5. Select **Add** (or **Edit** on an existing record).

You can edit it later from the same screen.",FULL,The reply gives the documented steps end to end and needs no staff action.,FULL,Matches the automated label.,
JIRA-0016,Patient billing total is wrong - shows double the service price,"A few things to check first:

- Clear the browser cache and hard-refresh the page.
- Check whether the same thing happens on another staff account.
- Confirm every required field on the form is filled in.

If none of that helps, this looks like a defect — please raise it with the support team so an engineer can look at it.",HUMAN,"The bot offered troubleshooting, but resolving this needs an engineer / a decision.",,,
JIRA-0013,Steps to issue a patient bill after a consultation,"From **Patients (Patient Worklist)** in the documentation:

1. From the sidebar open the relevant module.
2. Set the date and any optional details.
3. Select **Add** (or **Edit** on an existing record).

You can edit it later from the same screen.",FULL,"Correct, specific and self-contained — a workflow could stop here.",,,
JIRA-0019,How do I add a second clinic location under our subscription?,I don't have enough information in my records to answer that. Please submit a support ticket.,HUMAN,The reply is a refusal — the documentation does not cover this.,,,
